areaid,districtid,percent
89295,268,1
74230,116,1
133769,235,1
94722,122,1
71377,182,1
57119,344,0.508466707489364
7241,361,0.010875175551261
96742,361,0.01226363003449
15003,272,0.997635233815756
87413,239,1
146949,388,1
49379,296,1
29453,161,1
108425,282,0.003665583532086
28197,70,1
145536,272,0.101760563380282
84803,405,1
185505,405,1
148194,146,1
113253,144,0.078950634832293
25149,467,1
167969,380,1
84517,265,1
163547,265,1
63760,265,1
8627,122,0.01043429554502
9987,122,1
80132,355,1
10372,56,1
35513,361,1
95824,161,1
157994,282,1
61104,296,1
61036,282,1
27244,97,0.452667786577074
147498,138,1
93247,138,1
61560,107,1
124914,1,0.315612611062883
14957,396,1
144924,465,0.979821426427448
10974,361,0.075347508422628
159818,231,1
7295,309,1
21099,309,1
114924,212,1
108733,212,1
189729,451,0.034182461137202
139231,421,0.06426331034262
128495,367,1
118926,29,0.315215781997159
67489,196,1
29493,105,1
110562,262,1
99501,265,1
167530,265,1
54288,265,1
63379,267,1
153847,145,1
77848,470,0.226498634875137
159783,216,1
64117,407,1
132099,466,0.014803606027125
15290,344,1
55365,369,0.078157554817063
18466,230,1
31730,121,1
66542,444,1
17835,97,0.604075673946084
166286,262,1
187470,268,1
153093,207,1
8956,268,1
134811,216,1
38660,270,1
67755,138,0.38502588227764
167328,397,1
75528,229,0.113341893778476
16790,1,1
168606,478,1
160952,11,0.544541736367347
26612,309,1
39652,309,0.017210065207825
157474,154,0.391295823563775
13941,161,1
98686,244,1
70725,405,1
183205,146,1
60210,447,1
185133,463,1
166907,146,1
43382,63,1
97857,312,1
143144,83,1
93812,90,0.136591042698948
30793,333,1
133244,265,1
137296,265,1
105906,116,1
29297,346,0.923848809900095
145726,346,0.421171612738018
84909,407,1
68147,465,0.033981262481341
64570,239,1
133975,212,1
142974,302,1
172709,458,0.345395329110835
158020,334,0.009124014566409
105148,196,1
27540,144,1
174363,467,1
36779,435,1
81921,380,1
42365,265,1
148887,265,1
187397,265,1
93071,332,1
37016,270,1
144471,151,1
24267,405,1
185170,30,1
64630,92,1
56835,134,0.077193178909649
146265,182,1
96319,140,1
94380,397,1
39734,361,1
165128,361,1
107612,56,1
63066,121,1
24751,444,0.396288397440771
25989,89,0.007459401487078
186596,265,1
81101,265,1
155058,332,1
174095,235,0.013050525262631
16363,138,1
109741,438,1
72643,394,1
143816,396,1
39917,166,1
24207,166,1
28260,225,0.60076664839408
144693,391,1
164894,401,1
108906,268,1
28932,346,0.148388800422505
158836,207,0.519017844991154
15631,15,1
186639,239,1
14569,309,1
27039,161,1
69015,154,1
67740,146,1
51118,215,1
79294,265,1
132875,77,1
142331,265,1
180873,265,1
143888,165,0.933604346886678
68977,116,1
51410,116,1
169408,167,1
184779,332,1
156392,1,0.795256973920557
48953,438,0.981469474661608
136983,396,1
183455,38,0.917170512702522
79742,140,1
106280,478,1
162635,107,1
164699,407,0.973521059157634
34720,239,1
70420,239,1
55066,212,0.934800694350007
28120,161,1
180321,154,1
2098,464,1
89241,379,1
127272,149,1
95239,267,1
163901,397,1
92719,397,1
22400,405,1
175514,146,1
64757,310,0.629673915651569
13732,405,1
147455,105,1
82393,182,1
67227,85,1
55576,267,1
162592,12,0.431005097100974
147138,63,1
25381,63,1
104135,98,1
75517,144,0.388316357579834
184859,380,1
34640,337,1
15194,337,1
55675,90,0.891340339763893
34572,103,1
166647,265,1
150790,265,1
162225,35,1
48073,35,1
178554,92,0.789023775014214
29387,182,1
65196,458,1
110095,100,0.871800620558503
121269,154,1
89602,296,1
176440,149,1
77087,12,0.569876211281017
154676,424,1
115043,149,1
13621,265,1
146360,265,1
181955,265,1
109702,309,1
183155,272,1
296,272,1
101563,239,1
101579,361,1
167888,53,1
124913,465,1
122839,478,0.596364276737615
24093,396,1
4684,43,1
9310,309,0.821249119887346
155527,212,1
74638,309,1
44726,15,1
121822,70,1
86328,367,1
136912,215,1
9561,405,1
19020,346,0.999591880829202
92202,370,0.483428841259424
7668,346,0.259364771972504
125943,270,1
150229,397,1
3320,397,1
87587,182,0.927030487316956
70896,122,1
162189,369,1
52513,90,0.184705708263845
188732,77,1
97737,265,1
9042,30,1
27371,101,1
52802,30,0.998047148556771
72448,132,1
149794,270,1
22675,151,1
145703,43,1
144715,315,1
175397,18,0.636262562839192
26421,138,1
85133,138,1
151613,478,1
61701,396,1
186881,361,1
54942,53,1
118598,355,1
3691,344,0.9475569537166
186994,302,1
162570,138,1
160277,478,1
120331,16,1
51249,30,0.12087454784084
121129,30,1
13428,414,1
151940,270,1
98978,332,1
27985,167,1
62065,140,1
168816,438,0.455425968765759
188868,466,1
176418,107,1
129771,1,1
8374,407,1
65095,478,1
132381,15,1
106269,15,1
55624,15,1
188858,83,1
187234,103,1
38751,394,0.996703301099833
108537,144,1
54017,265,1
74300,265,1
151423,265,1
